Race ID,Horse Name,Average Speed,Time Taken,Win,Lose,Fallen
748c9f9b-533f-4c64-ac9a-95be0e7ff843,Horse 6,Infinity,0,0,0,1
748c9f9b-533f-4c64-ac9a-95be0e7ff843,Horse 2,125.0,4,0,0,1
748c9f9b-533f-4c64-ac9a-95be0e7ff843,Horse 1,100.0,5,1,0,0
748c9f9b-533f-4c64-ac9a-95be0e7ff843,Horse 3,100.0,5,0,1,0
748c9f9b-533f-4c64-ac9a-95be0e7ff843,Horse 4,62.5,8,0,1,0
748c9f9b-533f-4c64-ac9a-95be0e7ff843,Horse 0,62.5,8,0,1,0
748c9f9b-533f-4c64-ac9a-95be0e7ff843,Horse 5,55.55555555555556,9,0,0,1
f0dc0847-bd60-4a02-9611-e2307e67052e,Horse 0,250.0,2,0,0,1
f0dc0847-bd60-4a02-9611-e2307e67052e,Horse 3,125.0,4,0,0,1
f0dc0847-bd60-4a02-9611-e2307e67052e,Horse 6,125.0,4,1,0,0
f0dc0847-bd60-4a02-9611-e2307e67052e,Horse 5,100.0,5,0,1,0
f0dc0847-bd60-4a02-9611-e2307e67052e,Horse 4,100.0,5,0,1,0
f0dc0847-bd60-4a02-9611-e2307e67052e,Horse 1,25.0,20,0,1,0
f0dc0847-bd60-4a02-9611-e2307e67052e,Horse 2,22.727272727272727,22,0,0,1
fb1539be-21a1-4bfb-ab83-2714e3c5b65e,Horse 2,125.0,4,1,0,0
fb1539be-21a1-4bfb-ab83-2714e3c5b65e,Horse 0,100.0,5,0,1,0
fb1539be-21a1-4bfb-ab83-2714e3c5b65e,Horse 3,100.0,5,0,1,0
fb1539be-21a1-4bfb-ab83-2714e3c5b65e,Horse 5,83.33333333333333,6,0,0,1
fb1539be-21a1-4bfb-ab83-2714e3c5b65e,Horse 4,71.42857142857143,7,0,1,0
fb1539be-21a1-4bfb-ab83-2714e3c5b65e,Horse 1,35.714285714285715,14,0,1,0
d7a00a45-f3f5-4760-99ba-5aa193316ff7,Horse 2,Infinity,0,0,0,1
d7a00a45-f3f5-4760-99ba-5aa193316ff7,Horse 5,250.0,2,0,0,1
d7a00a45-f3f5-4760-99ba-5aa193316ff7,Horse 3,83.33333333333333,6,0,0,1
d7a00a45-f3f5-4760-99ba-5aa193316ff7,Horse 4,62.5,8,0,0,1
d7a00a45-f3f5-4760-99ba-5aa193316ff7,Horse 1,33.333333333333336,15,1,0,0
d7a00a45-f3f5-4760-99ba-5aa193316ff7,Horse 6,25.0,20,0,0,1
d7a00a45-f3f5-4760-99ba-5aa193316ff7,Horse 0,16.666666666666668,30,0,0,1
0f68dce5-cc02-4281-9642-7dae8723696c,Horse 5,Infinity,0,0,0,1
0f68dce5-cc02-4281-9642-7dae8723696c,Horse 2,Infinity,0,0,0,1
0f68dce5-cc02-4281-9642-7dae8723696c,Horse 6,250.0,2,0,0,1
0f68dce5-cc02-4281-9642-7dae8723696c,Horse 0,125.0,4,0,0,1
0f68dce5-cc02-4281-9642-7dae8723696c,Horse 7,125.0,4,1,0,0
0f68dce5-cc02-4281-9642-7dae8723696c,Horse 1,100.0,5,0,1,0
0f68dce5-cc02-4281-9642-7dae8723696c,Horse 3,38.46153846153846,13,0,0,1
0f68dce5-cc02-4281-9642-7dae8723696c,Horse 4,31.25,16,0,0,1
245f2067-e3a4-4533-a1e2-35c7200fd404,Horse 6,Infinity,0,0,0,1
245f2067-e3a4-4533-a1e2-35c7200fd404,Horse 0,500.0,1,0,0,1
245f2067-e3a4-4533-a1e2-35c7200fd404,Horse 4,125.0,4,0,0,1
245f2067-e3a4-4533-a1e2-35c7200fd404,Horse 1,125.0,4,0,0,1
245f2067-e3a4-4533-a1e2-35c7200fd404,Horse 2,125.0,4,1,0,0
245f2067-e3a4-4533-a1e2-35c7200fd404,Horse 7,83.33333333333333,6,0,0,1
245f2067-e3a4-4533-a1e2-35c7200fd404,Horse 3,83.33333333333333,6,0,1,0
245f2067-e3a4-4533-a1e2-35c7200fd404,Horse 5,62.5,8,0,0,1
c891ccaf-e687-4950-a53f-287c0ebcd6ea,Horse 0,250.0,2,0,0,1
c891ccaf-e687-4950-a53f-287c0ebcd6ea,Horse 1,166.66666666666666,3,0,0,1
c891ccaf-e687-4950-a53f-287c0ebcd6ea,Horse 7,125.0,4,1,0,0
c891ccaf-e687-4950-a53f-287c0ebcd6ea,Horse 5,100.0,5,0,0,1
c891ccaf-e687-4950-a53f-287c0ebcd6ea,Horse 6,100.0,5,0,1,0
c891ccaf-e687-4950-a53f-287c0ebcd6ea,Horse 2,71.42857142857143,7,0,0,1
c891ccaf-e687-4950-a53f-287c0ebcd6ea,Horse 3,50.0,10,0,0,1
c891ccaf-e687-4950-a53f-287c0ebcd6ea,Horse 4,45.45454545454545,11,0,1,0
3f009c07-a185-42c7-8ee1-e6f5ddf70fe5,Horse 8,250.0,2,0,0,1
3f009c07-a185-42c7-8ee1-e6f5ddf70fe5,Horse 5,125.0,4,1,0,0
3f009c07-a185-42c7-8ee1-e6f5ddf70fe5,Horse 6,125.0,4,0,0,1
3f009c07-a185-42c7-8ee1-e6f5ddf70fe5,Horse 0,100.0,5,0,1,0
3f009c07-a185-42c7-8ee1-e6f5ddf70fe5,Horse 3,100.0,5,0,0,1
3f009c07-a185-42c7-8ee1-e6f5ddf70fe5,Horse 7,100.0,5,0,1,0
3f009c07-a185-42c7-8ee1-e6f5ddf70fe5,Horse 4,83.33333333333333,6,0,1,0
